Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS100x40x5,100.0,40.0,5.0,10.0,5.0,9.7,263.0,1236.0,883.0,353.0,1356000.0,33.1,27120.0,36090.0,307600.0,15.8,15380.0,18520.0,879200.0,27900.0
RHS100x50x2.5,100.0,50.0,2.5,5.0,2.5,5.56,291.0,709.0,473.0,236.0,912000.0,35.9,18240.0,22670.0,310600.0,20.9,12420.0,14010.0,753900.0,21490.0
RHS100x50x3,100.0,50.0,3.0,6.0,3.0,6.6,290.0,841.0,561.0,280.0,1065000.0,35.6,21290.0,26660.0,360600.0,20.7,14420.0,16440.0,885600.0,25010.0
RHS100x50x4,100.0,50.0,4.0,8.0,4.0,8.59,286.0,1095.0,730.0,365.0,1341000.0,35.0,26830.0,34100.0,449500.0,20.3,17980.0,20930.0,1130000.0,31350.0
RHS100x50x5,100.0,50.0,5.0,10.0,5.0,10.5,283.0,1336.0,890.0,445.0,1582000.0,34.4,31640.0,40840.0,524500.0,19.8,20980.0,24950.0,1349000.0,36800.0
RHS100x50x6,100.0,50.0,6.0,12.0,6.0,12.3,279.0,1563.0,1042.0,521.0,1788000.0,33.8,35750.0,46900.0,586700.0,19.4,23470.0,28520.0,1542000.0,41430.0
RHS100x50x6.3,100.0,50.0,6.3,15.8,9.4,12.5,273.0,1595.0,1063.0,532.0,1757000.0,33.2,35140.0,46870.0,581900.0,19.1,23270.0,28630.0,1581000.0,42070.0
RHS100x60x2.5,100.0,60.0,2.5,5.0,2.5,5.96,311.0,759.0,474.0,285.0,1030999.9999999999,36.9,20620.0,25110.0,468800.0,24.9,15630.0,17680.0,1033000.0,26230.0
RHS100x60x3,100.0,60.0,3.0,6.0,3.0,7.07,310.0,901.0,563.0,338.0,1206000.0,36.6,24110.0,29570.0,546500.0,24.6,18220.0,20790.0,1217000.0,30640.0
RHS100x60x4,100.0,60.0,4.0,8.0,4.0,9.22,306.0,1175.0,734.0,441.0,1526000.0,36.0,30520.0,37940.0,686800.0,24.2,22890.0,26600.0,1563000.0,38680.0
RHS100x60x5,100.0,60.0,5.0,10.0,5.0,11.3,303.0,1436.0,897.0,538.0,1808000.0,35.5,36150.0,45590.0,808300.0,23.7,26940.0,31880.0,1879000.0,45750.0
RHS100x60x6,100.0,60.0,6.0,12.0,6.0,13.2,299.0,1683.0,1052.0,631.0,2053000.0,34.9,41060.0,52540.0,912000.0,23.3,30400.0,36640.0,2164000.0,51920.0
RHS100x60x6.3,100.0,60.0,6.3,15.8,9.4,13.5,293.0,1721.0,1076.0,645.0,2033999.9999999998,34.4,40680.0,52770.0,909100.0,23.0,30300.0,36920.0,2234000.0,53000.0
RHS100x80x2.5,100.0,80.0,2.5,5.0,2.5,6.74,351.0,859.0,477.0,382.0,1269000.0,38.4,25370.0,29980.0,901700.0,32.4,22540.0,25770.0,1658000.0,35730.0
RHS100x80x3,100.0,80.0,3.0,6.0,3.0,8.01,350.0,1021.0,567.0,454.0,1488000.0,38.2,29760.0,35390.0,1056000.0,32.2,26410.0,30400.0,1961000.0,41910.0
RHS100x80x4,100.0,80.0,4.0,8.0,4.0,10.5,346.0,1335.0,742.0,593.0,1895000.0,37.7,37890.0,45620.0,1342000.0,31.7,33540.0,39150.0,2538000.0,53380.0
RHS100x80x5,100.0,80.0,5.0,10.0,5.0,12.8,343.0,1636.0,909.0,727.0,2259000.0,37.2,45190.0,55090.0,1596000.0,31.2,39900.0,47240.0,3075000.0,63720.0
RHS100x80x6,100.0,80.0,6.0,12.0,6.0,15.1,339.0,1923.0,1068.0,855.0,2584000.0,36.7,51680.0,63820.0,1821000.0,30.8,45530.0,54670.0,3574000.0,72980.0
RHS100x80x6.3,100.0,80.0,6.3,15.8,9.4,15.5,333.0,1973.0,1096.0,877.0,2588000.0,36.2,51750.0,64580.0,1828000.0,30.4,45700.0,55390.0,3714000.0,74970.0
RHS120x60x2.5,120.0,60.0,2.5,5.0,2.5,6.74,351.0,859.0,573.0,286.0,1612000.0,43.3,26870.0,33200.0,551500.0,25.3,18380.0,20560.0,1326000.0,31750.0
RHS120x60x3,120.0,60.0,3.0,6.0,3.0,8.01,350.0,1021.0,681.0,340.0,1891000.0,43.0,31520.0,39180.0,644000.0,25.1,21470.0,24210.0,1563000.0,37140.0
RHS120x60x4,120.0,60.0,4.0,8.0,4.0,10.5,346.0,1335.0,890.0,445.0,2407000.0,42.5,40120.0,50490.0,812500.0,24.7,27080.0,31080.0,2011000.0,47050.0
RHS120x60x5,120.0,60.0,5.0,10.0,5.0,12.8,343.0,1636.0,1090.0,545.0,2870000.0,41.9,47830.0,60950.0,959900.0,24.2,32000.0,37380.0,2422000.0,55850.0
RHS120x60x6,120.0,60.0,6.0,12.0,6.0,15.1,339.0,1923.0,1282.0,641.0,3280000.0,41.3,54670.0,70570.0,1088000.0,23.8,36260.0,43120.0,2797000.0,63600.0
RHS120x60x6.3,120.0,60.0,6.3,15.8,9.4,15.5,333.0,1973.0,1315.0,658.0,3270000.0,40.7,54490.0,71240.0,1092000.0,23.5,36390.0,43690.0,2893000.0,65140.0
RHS120x60x8,120.0,60.0,8.0,20.0,12.0,18.9,326.0,2404.0,1603.0,801.0,3753000.0,39.5,62550.0,84050.0,1240000.0,22.7,41330.0,51290.0,3396000.0,74960.0
RHS120x80x3,120.0,80.0,3.0,6.0,3.0,8.96,390.0,1141.0,684.0,456.0,2302000.0,44.9,38370.0,46200.0,1234000.0,32.9,30860.0,35020.0,2555000.0,50800.0
RHS120x80x4,120.0,80.0,4.0,8.0,4.0,11.7,386.0,1495.0,897.0,598.0,2946000.0,44.4,49100.0,59770.0,1573000.0,32.4,39320.0,45230.0,3312000.0,64930.00000000001
RHS120x80x5,120.0,80.0,5.0,10.0,5.0,14.4,383.0,1836.0,1101.0,734.0,3531000.0,43.9,58860.0,72450.0,1878000.0,32.0,46940.0,54740.0,4023000.0,77770.0
RHS120x80x6,120.0,80.0,6.0,12.0,6.0,17.0,379.0,2163.0,1298.0,865.0,4061000.0,43.3,67680.0,84250.0,2150000.0,31.5,53760.0,63550.0,4685000.0,89400.0
RHS120x80x6.3,120.0,80.0,6.3,15.8,9.4,17.5,373.0,2225.0,1335.0,890.0,4085000.0,42.8,68080.0,85570.0,2171000.0,31.2,54280.0,64680.00000000001,4878000.0,92070.0
RHS120x80x8,120.0,80.0,8.0,20.0,12.0,21.4,366.0,2724.0,1635.0,1090.0,4758000.0,41.8,79310.0,102000.0,2517000.0,30.4,62920.0,76930.0,5840000.0,108000.0
RHS140x80x4,140.0,80.0,4.0,8.0,4.0,13.0,426.0,1655.0,1053.0,602.0,4296000.0,51.0,61370.0,75510.0,1804000.0,33.0,45100.0,51310.0,4116000.0,76480.0
RHS140x80x5,140.0,80.0,5.0,10.0,5.0,16.0,423.0,2036.0,1295.0,740.0,5171000.0,50.4,73870.0,91800.0,2159000.0,32.6,53990.0,62240.0,5005000.0,91830.0
RHS140x80x6,140.0,80.0,6.0,12.0,6.0,18.9,419.0,2403.0,1529.0,874.0,5970000.0,49.8,85290.0,107100.0,2480000.0,32.1,61990.0,72430.0,5838000.0,105800.0
RHS140x80x6.3,140.0,80.0,6.3,15.8,9.4,19.4,413.0,2477.0,1576.0,901.0,6027000.0,49.3,86100.0,109100.0,2514000.0,31.9,62850.0,73970.0,6085000.0,109200.0
RHS140x80x8,140.0,80.0,8.0,20.0,12.0,23.9,406.0,3044.0,1937.0,1107.0,7081000.0,48.2,101200.0,130800.00000000001,2933000.0,31.0,73330.0,88450.0,7314000.0,128800.00000000001
