Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS457x12.5,457.0,12.5,137.0,1436.0,17455.0,11112.0,431400000.0,157.2,1888000.0,2470000.0,862900000.0,3776000.0
CHS457x14.2,457.0,14.2,155.1,1436.0,19754.0,12576.0,484600000.0,156.6,2121000.0,2785000.0,969300000.0,4242000.0
CHS457x16,457.0,16.0,174.0,1436.0,22167.0,14112.0,539600000.0,156.0,2361000.0,3113000.0,1079000000.0,4723000.0
CHS457x20,457.0,20.0,215.5,1436.0,27458.0,17480.0,656800000.0,154.7,2874000.0,3822000.0,1314000000.0,5749000.0
CHS457x25,457.0,25.0,266.3,1436.0,33929.0,21600.0,794200000.0,153.0,3475000.0,4671000.0,1588000000.0,6951000.0
CHS457x30,457.0,30.0,315.9,1436.0,40244.0,25620.0,921700000.0,151.3,4034000.0,5479000.0,1843000000.0,8068000.0
CHS457x40,457.0,40.0,411.4,1436.0,52402.0,33360.0,1149000000.0,148.1,5031000.0,6977000.0,2299000000.0,10060000.0
CHS508x6.3,508.0,6.3,77.9,1596.0,9930.0,6321.0,312500000.0,177.4,1230000.0,1586000.0,624900000.0,2460000.0
CHS508x8,508.0,8.0,98.6,1596.0,12566.0,8000.0,392800000.0,176.8,1546000.0,2000000.0,785600000.0,3093000.0
CHS508x10,508.0,10.0,122.8,1596.0,15645.0,9960.0,485200000.0,176.1,1910000.0,2480000.0,970400000.0,3820000.0
CHS508x12.5,508.0,12.5,152.7,1596.0,19458.0,12388.0,597600000.0,175.2,2353000.0,3070000.0,1195000000.0,4705000.0
CHS508x14.2,508.0,14.2,172.9,1596.0,22029.0,14024.0,672000000.0,174.7,2646000.0,3463000.0,1344000000.0,5291000.0
CHS508x16,508.0,16.0,194.1,1596.0,24731.0,15744.0,749100000.0,174.0,2949000.0,3874000.0,1498000000.0,5898000.0
CHS508x20,508.0,20.0,240.7,1596.0,30662.0,19520.0,914300000.0,172.7,3600000.0,4766000.0,1829000000.0,7199000.0
CHS508x25,508.0,25.0,297.8,1596.0,37935.0,24150.0,1109000000.0,171.0,4367000.0,5837000.0,2218000000.0,8734000.0
CHS508x30,508.0,30.0,353.6,1596.0,45050.0,28680.0,1292000000.0,169.3,5086000.0,6864000.0,2583000000.0,10170000.0
CHS508x40,508.0,40.0,461.7,1596.0,58811.0,37440.0,1622000000.0,166.1,6385000.0,8782000.0,3244000000.0,12770000.0
CHS508x50,508.0,50.0,564.7,1596.0,71942.0,45800.0,1909000000.0,162.9,7515000.0,10530000.0,3818000000.0,15030000.0
CHS610x6.3,610.0,6.3,93.8,1916.0,11948.0,7607.0,544400000.0,213.5,1785000.0,2296000.0,1089000000.0,3570000.0
